Statistics
ARG_NUM_OF_READS,97358
ARG_READ_LENGTH_MEAN,3745.8690194950595
ARG_READ_LENGTH_MEDIAN,3828.0
ARG_READ_LENGTH_RANGE,"(118, 59370)"
ARG_READ_LENGTH_STD_DEV,1270.729450980761
ARG_READ_LENGTH_VARIANCE,1614753.3375898662
ARG_READ_LENGTH_SKEW,2.021674987233601
ARG_READ_LENGTH_KURTOSIS,65.29572145383193
ARG_NO_OUTLIERS_4_STDV_NUM_OF_READS,89893
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEAN,3826
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_MEDIAN,3867
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_RANGE,"(1437, 6218)"
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_STD_DEV,865.8423644059004
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_VARIANCE,749683
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_SKEW,-0.31791819420667167
ARG_NO_OUTLIERS_4_STDV_READ_LENGTH_KURTOSIS,0.13292403768822503
Resistome
MEGARes Gene Header,Num Reads,Group,Num Reads,Mechanism,Num Reads,Class,Num Reads
MEG_4223|Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation,10624,MLS23S,50828,Macrolide-resistant 23S rRNA mutation,50828,MLS,55947
MEG_3990|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,10237,A16S,28730,Aminoglycoside-resistant 16S ribosomal subunit protein,45624,Aminoglycosides,46950
MEG_8680|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRS|RequiresSNPConfirmation,8248,O23S,10624,Oxazolidinone-resistant 23S rRNA mutation,10681,Tetracyclines,12793
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,8137,RRS,8248,Tetracycline resistance ribosomal protection proteins,9052,Oxazolidinone,10681
MEG_3978|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6392,RRSA,5394,Rifampin-resistant beta-subunit of RNA polymerase RpoB,2511,Rifampin,2515
MEG_3988|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,6291,RPOB,2486,Tetracycline-resistant 16S ribosomal subunit protein,2259,Elfamycins,2241
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,6011,TETQ,2261,EF-Tu inhibition,2241,Drug and biocide resistance,1904
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,5743,TET16S,2259,MLS resistance MFS efflux pumps,1619,Multi-metal resistance,1428
MEG_6145|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation,5394,TUFAB,2241,MLS resistance ABC efflux pumps,1439,Copper resistance,1267
MEG_3977|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,5031,RRSH,2111,Copper resistance protein,1200,Cationic antimicrobial peptides,998
MEG_8249|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,4549,TETW,2098,Aminoglycoside O-nucleotidyltransferases,1007,betalactams,929
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3955,TETO,1796,23S rRNA methyltransferases,911,Acid resistance,446
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,3227,MEFA,1137,Tetracycline resistance MFS efflux pumps,900,Biocide and metal resistance,409
MEG_3975|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3177,RRSC,1126,Cationic peptide-resistant 16S ribosomal subunit protein,857,Zinc resistance,382
MEG_3980|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,3118,TET40,1016,Macrolide phosphotransferases,735,Trimethoprim,362
MEG_3992|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2734,TETM,1010,Drug and biocide RND efflux pumps,583,Drug and biocide and metal resistance,336
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,2660,CAP16S,857,Multi-metal resistance protein,535,Phenicol,288
MEG_6147|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation,2111,MSRD,653,Drug and biocide MFS efflux pumps,532,Multi-drug resistance,283
MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,1962,MSRE,449,Drug and biocide RND efflux regulator,442,Arsenic resistance,267
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,1678,TETT,445,Multi-metal RND efflux pumps,419,Glycopeptides,265
MEG_8251|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1342,TCRA,426,Dihydrofolate reductase,362,Pleuromutilin,256
MEG_3982|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,1319,ANT3-DPRIME,422,Class D betalactamases,358,Multi-biocide resistance,248
MEG_6146|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation,1126,ERMA,375,Tetracycline inactivation enzymes,341,Nucleosides,212
MEG_3985|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,897,OXA,358,Acid resistance protein,333,Fosfomycin,207
MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,892,MPHE,348,Lincosamide nucleotidyltransferases,329,Fluoroquinolones,204
MEG_1490|Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation,857,TETX,341,Aminoglycoside O-phosphotransferases,311,Peroxide resistance,144
MEG_6991|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,812,DFRA,336,Biocide and metal resistance protein,302,Sodium resistance,141
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,793,ANT6,329,Zinc resistance protein,258,Acetate resistance,112
MEG_6131|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,769,TCRB,298,Class A betalactamases,257,Nickel resistance,89
MEG_6121|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,601,MSRG,282,Pleuromutilin-resistant 23S rRNA mutation,256,Lipopeptides,84
MEG_7307|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,518,TETL,270,Arsenic resistance protein,247,Phenolic compound resistance,72
MEG_3993|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,508,ERMF,257,Drug and biocide and metal RND efflux pumps,245,Sulfonamides,66
MEG_3824|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,503,P23S,256,Chloramphenicol acetyltransferases,233,Fusidic acid,61
MEG_4075|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRE,449,ANT9,237,Streptothricin acetyltransferase,212,Aminocoumarins,52
MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,439,MEFF,229,Tetracycline transcriptional repressor,207,Bacitracin,23
MEG_3817|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,432,LNUC,219,Fluoroquinolone-resistant DNA topoisomerases,199,Chromium resistance,21
MEG_7314|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,430,CATB,214,Multi-metal resistance regulator,190,Pactamycin,20
MEG_6651|Metals|Copper_resistance|Copper_resistance_protein|TCRA,426,SAT,212,Multi-metal ABC efflux pumps,171,Tellurium resistance,4
MEG_3976|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,419,TET39,208,Vancomycin-resistant mutation,165,Mercury resistance,2
MEG_7312|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,407,TETR,207,Drug and biocide SMR efflux pumps,162,Biguanide resistance,2
MEG_4074|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,398,MPHN,206,Multi-drug ABC efflux pumps,158,Mycobacterium tuberculosis-specific Drug,1
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,389,MEFC,198,Sodium resistance protein,141
MEG_3984|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,350,TET44,186,Lipid A modification,141
MEG_925|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,336,RPOC,165,Fosfomycin target mutation,140
MEG_8068|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,334,MPHG,154,Multi-biocide resistance regulator,128
MEG_4044|Drugs|MLS|Macrolide_phosphotransferases|MPHE,327,TCRY,154,Drug and biocide MFS efflux regulator,125
MEG_8252|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,316,TETBP,154,Zinc resistance regulator,124
MEG_3987|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,314,TCRZ,141,Multi-metal RND efflux regulator,113
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,311,APH3-DPRIME,140,Acid resistance regulator,113
MEG_6652|Metals|Copper_resistance|Copper_resistance_protein|TCRB,298,TETA,139,Acetate resistance protein,112
MEG_6963|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation,297,APH6,139,Biocide and metal ABC efflux pumps,107
MEG_6100|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,279,TET32,124,Nickel ABC efflux pumps,88
MEG_7150|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,272,CUSA,109,Penicillin binding protein,85
MEG_8250|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,263,CPXAR,108,peroxide resistance protein,74
MEG_2785|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,263,ACRB,106,Class C betalactamases,71
MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,255,ERMB,97,Drug and biocide and metal RND efflux regulator,71
MEG_8443|Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation,250,TET36,97,Peroxide resistance stress protein,70
MEG_8254|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,247,LPDT,97,Copper resistance regulator,67
MEG_8260|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRG,244,CUSB,93,Fosfomycin thiol transferases,67
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,231,CUSC,90,Sulfonamide-resistant dihydropteroate synthases,66
MEG_7227|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,227,PARC,89,Mutant porin proteins,65
MEG_7203|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,226,EMRK,87,Fusidic acid-resistant mutation,61
MEG_7320|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,225,EVGS,84,Multi-biocide RND efflux pump,60
MEG_8716|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,223,ZNUA,82,Macrolide esterases,59
MEG_8253|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,223,NHAB,81,Aminocoumarin-resistant DNA topoisomerases,52
MEG_3610|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,219,EMRY,80,Phenicol resistance MFS efflux pumps,48
MEG_7202|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,219,ACRA,80,Colistin-resistant mutant,48
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,214,MODC,79,Phenolic resistance protein,42
MEG_7112|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,208,ACRF,79,Class C betalactamase regulator,42
MEG_4051|Drugs|MLS|Macrolide_phosphotransferases|MPHN,206,ZNUC,79,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,35
MEG_6159|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,200,TETB,78,Tetracycline resistance MFS efflux regulator,34
MEG_3828|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFC,198,CUSF,78,Multi-biocide SMR efflux pump,33
MEG_6987|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET39,196,GYRA,77,Drug and biocide MATE efflux pumps,33
MEG_3991|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,189,YDEP,77,Triclosan-resistant mutation,30
MEG_7195|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,188,MDTF,73,VanC-type resistance protein,29
MEG_6127|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,185,ZNUB,73,Multi-drug RND efflux pumps,28
MEG_7145|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,183,MGTA,71,Streptogramin A O-acetyltransferase,27
MEG_6994|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,179,EVGA,71,Drug and biocide ABC efflux pumps,27
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,176,ZRAS,71,Multi-biocide resistance protein,27
MEG_7094|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,175,FEXA,70,Class B betalactamases,26
MEG_7238|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,171,GADA,70,Penicillin binding protein regulator,25
MEG_1617|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,166,CTX,69,Undecaprenyl pyrophosphate phosphatase,23
MEG_6138|Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation,165,ZRAR,69,Chromium resistance protein,21
MEG_4045|Drugs|MLS|Macrolide_phosphotransferases|MPHG,154,ACRE,67,VanC-type regulator,20
MEG_6653|Metals|Copper_resistance|Copper_resistance_protein|TCRY,154,MDTC,65,Arsenic resistance regulator,20
MEG_7055|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETBP,154,PSTC,65,Drug and biocide and metal resistance regulator,20
MEG_7149|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,151,PTSL,65,Pactamycin-resistant 16S ribosomal subunit protein,20
MEG_7159|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,146,MDTB,65,Bleomycin resistance protein,15
MEG_7161|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,144,EPTA,63,VanA-type resistance protein,14
MEG_6654|Metals|Copper_resistance|Copper_resistance_protein|TCRZ,141,ERMC,62,VanA-type accessory protein,10
MEG_7014|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,135,PSTA,62,Multi-drug RND efflux regulator,9
MEG_7181|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,133,ACRS,62,Phenicol-resistant 23S rRNA mutation,7
MEG_6997|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,133,FUSA,61,Quinolone resistance protein Qnr,5
MEG_7217|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,131,PSTB,61,VanE-type resistance protein,5
MEG_8244|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFF,125,ACRR,61,VanA-type regulator,4
MEG_3986|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,121,CUTE,60,Aminoglycoside N-acetyltransferases,4
MEG_2833|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,119,PMRF,60,Tellurium resistance protein,4
MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,111,TOLC,59,Aminoglycoside efflux pumps,4
MEG_2446|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA,109,ACRD,58,VanD-type resistance protein,3
MEG_6135|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,108,MDTE,58,MDR mutation,3
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,108,GADX,58,Biguanide cation efflux,2
MEG_7303|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,108,YDEO,58,Colistin phosphoethanolamine transferase,1
